chrom,start,end,coverage
chr1,155137500,155138000,30.3
chr1,155138000,155138500,29.7
chr1,155138500,155139000,30.1
chr1,155139000,155139500,31
chr1,155139500,155140000,28.8
chr1,155140000,155140500,29.9
chr1,155140500,155141000,32.7
chr1,155141000,155141500,28.2
chr1,155141500,155142000,30.1
chr1,155142000,155142500,32.4
chr1,155142500,155143000,30.7
chr1,155143000,155143500,27.1
chr1,155143500,155144000,30.8
chr1,155144000,155144500,30.9
chr1,155144500,155145000,29.4
chr1,155145000,155145500,31.8
chr1,155145500,155146000,31.1
chr1,155146000,155146500,28.7
chr1,155146500,155147000,31.8
chr1,155147000,155147500,33
chr1,155147500,155148000,30
chr1,155148000,155148500,28.1
chr1,155148500,155149000,30.4
chr1,155149000,155149500,31
chr1,155149500,155150000,32.2
chr1,155150000,155150500,30.4
chr1,155150500,155151000,31.2
chr1,155151000,155151500,27.5
chr1,155151500,155152000,32.6
chr1,155152000,155152500,27.5
chr1,155152500,155153000,28.5
chr1,155153000,155153500,29.7
chr1,155153500,155154000,31.8
chr1,155154000,155154500,28.9
chr1,155154500,155155000,32.2
chr1,155155000,155155500,28.4
chr1,155155500,155156000,31.8
chr1,155156000,155156500,29.5
chr1,155156500,155157000,29.6
chr1,155157000,155157500,27.1
chr1,155157500,155158000,28.9
chr1,155158000,155158500,31.3
chr1,155158500,155159000,32
chr1,155159000,155159500,31.8
chr1,155159500,155160000,33
chr1,155160000,155160500,30.5
chr1,155160500,155161000,32.2
chr1,155161000,155161500,28.8
chr1,155161500,155162000,27
chr1,155162000,155162500,28.5
chr1,155162500,155163000,30.2
chr1,155163000,155163500,30.9
chr1,155163500,155164000,31.1
chr1,155164000,155164500,31
chr1,155164500,155165000,29.9
chr1,155165000,155165500,30.9
chr1,155165500,155166000,32.5
chr1,155166000,155166500,31.1
chr1,155166500,155167000,27.8
chr1,155167000,155167500,30.4
chr1,155167500,155168000,28.3
chr1,155168000,155168500,31.1
chr1,155168500,155169000,29.7
chr1,155169000,155169500,28.9
chr1,155169500,155170000,31.1
chr1,155170000,155170500,29.1
chr1,155170500,155171000,29.3
chr1,155171000,155171500,28.5
chr1,155171500,155172000,29
chr1,155172000,155172500,27.7
chr1,155172500,155173000,30.3
chr1,155173000,155173500,32.8
chr1,155173500,155174000,31.2
chr1,155174000,155174500,30.1
chr1,155174500,155175000,32
chr1,155175000,155175500,31.8
chr1,155175500,155176000,28.9
chr1,155176000,155176500,29.9
chr1,155176500,155177000,29.9
chr1,155177000,155177500,27.8
chr1,155177500,155178000,32.3
chr1,155178000,155178500,29.1
chr1,155178500,155179000,27
chr1,155179000,155179500,30.7
chr1,155179500,155180000,29.3
chr1,155180000,155180500,27.6
chr1,155180500,155181000,27.8
chr1,155181000,155181500,27.7
chr1,155181500,155182000,27.7
chr1,155182000,155182500,31.6
chr1,155182500,155183000,31.3
chr1,155183000,155183500,31.2
chr1,155183500,155184000,29.1
chr1,155184000,155184500,28.3
chr1,155184500,155185000,29.8
chr1,155185000,155185500,32.5
chr1,155185500,155186000,28.9
chr1,155186000,155186500,27.6
chr1,155186500,155187000,32.3
chr1,155187000,155187500,29.1
chr1,155187500,155188000,32.9
chr1,155188000,155188500,28.4
chr1,155188500,155189000,28.5
chr1,155189000,155189500,30.5
chr1,155189500,155190000,32.8
chr1,155190000,155190500,28.5
chr1,155190500,155191000,31.4
chr1,155191000,155191500,28.8
chr1,155191500,155192000,31.9
chr1,155192000,155192500,28.7
chr1,155192500,155193000,30.1
chr1,155193000,155193500,31.4
chr1,155193500,155194000,30.2
chr1,155194000,155194500,31.2
chr1,155194500,155195000,31.1
chr1,155195000,155195500,28.6
chr1,155195500,155196000,27.8
chr1,155196000,155196500,31.6
chr1,155196500,155197000,27.2
chr1,155197000,155197500,27.8
chr1,155197500,155198000,30
chr1,155198000,155198500,29.8
chr1,155198500,155199000,29.2
chr1,155199000,155199500,31.2
chr1,155199500,155200000,30.8
chr1,155200000,155200500,30.5
chr1,155200500,155201000,29.1
chr1,155201000,155201500,29.6
chr1,155201500,155202000,29.6
chr1,155202000,155202500,30.5
chr1,155202500,155203000,28.9
chr1,155203000,155203500,32.6
chr1,155203500,155204000,32.6
chr1,155204000,155204500,30.7
chr1,155204500,155205000,29.4
chr1,155205000,155205500,32.3
chr1,155205500,155206000,28.6
chr1,155206000,155206500,27.3
chr1,155206500,155207000,29.4
chr1,155207000,155207500,29.4
chr1,155207500,155208000,32.6
chr1,155208000,155208500,32.9
chr1,155208500,155209000,27.2
chr1,155209000,155209500,29.5
chr1,155209500,155210000,29.3
chr1,155210000,155210500,28
chr1,155210500,155211000,32.4
chr1,155211000,155211500,28.8
chr1,155211500,155212000,32.7
chr1,155212000,155212500,31.3
chr1,155212500,155213000,32.9
chr1,155213000,155213500,31.7
chr1,155213500,155214000,29.8
chr1,155214000,155214500,31
chr1,155214500,155215000,32.4
chr1,155215000,155215500,28.8
chr1,155215500,155216000,31.7
chr1,155216000,155216500,30.6
chr1,155216500,155217000,30.8
chr1,155217000,155217500,30.4
chr1,155217500,155218000,27.5
chr1,155218000,155218500,32.5
chr1,155218500,155219000,31.5
chr1,155219000,155219500,27.2
chr1,155219500,155220000,30.9
chr1,155220000,155220500,28.7
chr1,155220500,155221000,31.9
chr1,155221000,155221500,31.4
chr1,155221500,155222000,32.7
chr1,155222000,155222500,30.2
chr1,155222500,155223000,32.3
chr1,155223000,155223500,28.2
chr1,155223500,155224000,27.7
chr1,155224000,155224500,28.3
chr1,155224500,155225000,32.5
chr1,155225000,155225500,31.8
chr1,155225500,155226000,28.6
chr1,155226000,155226500,28.9
chr1,155226500,155227000,32.1
chr1,155227000,155227500,31.7
chr1,155227500,155228000,31.2
chr1,155228000,155228500,31.2
chr1,155228500,155229000,28.2
chr1,155229000,155229500,32
chr1,155229500,155230000,31.9
chr1,155230000,155230500,31.6
chr1,155230500,155231000,28.4
chr1,155231000,155231500,27.9
chr1,155231500,155232000,27.5
chr1,155232000,155232500,28.5
chr1,155232500,155233000,29.1
chr1,155233000,155233500,29.9
chr1,155233500,155234000,30
chr1,155234000,155234500,27.4
chr1,155234500,155235000,29
chr1,155235000,155235500,30.8
chr1,155235500,155236000,32.4
chr1,155236000,155236500,28.1
chr1,155236500,155237000,27.3
chr1,155237000,155237500,28.5
chr1,155237500,155238000,31.7
chr1,155238000,155238500,30
chr1,155238500,155239000,30.8
chr1,155239000,155239500,30.4
chr1,155239500,155240000,27.7
chr1,155240000,155240500,31.9
chr1,155240500,155241000,29.6
chr1,155241000,155241500,30.8
chr1,155241500,155242000,30.7
chr1,155242000,155242500,28.9
chr1,155242500,155243000,27.7
chr1,155243000,155243500,30.5
chr1,155243500,155244000,30.3
chr1,155244000,155244500,31.7
chr1,155244500,155245000,29.5
chr1,155245000,155245500,27.3
chr1,155245500,155246000,32.9
chr1,155246000,155246500,31.8
chr1,155246500,155247000,31.8
chr1,155247000,155247500,28.4
chr1,155247500,155248000,28.2
chr1,155248000,155248500,31
chr1,155248500,155249000,32.6
chr1,155249000,155249500,29.4
chr1,155249500,155250000,29.8
chr1,155250000,155250500,32.8
chr1,155250500,155251000,31
chr1,155251000,155251500,29.9
chr1,155251500,155252000,31.1
chr1,155252000,155252500,30.2
chr1,155252500,155253000,30
chr1,155253000,155253500,31.2
chr1,155253500,155254000,31.3
chr1,155254000,155254500,28.7
chr1,155254500,155255000,28.6
chr1,155255000,155255500,27.3
chr1,155255500,155256000,28
chr1,155256000,155256500,32.1
chr1,155256500,155257000,30
chr1,155257000,155257500,29
chr1,155257500,155258000,27
chr1,155258000,155258500,27.6
chr1,155258500,155259000,32.9
chr1,155259000,155259500,31.8
chr1,155259500,155260000,30.5
chr1,155260000,155260500,32.9
chr1,155260500,155261000,31.8
chr1,155261000,155261500,31.3
chr1,155261500,155262000,32
chr1,155262000,155262500,32.9
chr1,155262500,155263000,30.9
chr1,155263000,155263500,31
chr1,155263500,155264000,27.8
chr1,155264000,155264500,31.8
chr1,155264500,155265000,29.1
chr1,155265000,155265500,31
chr1,155265500,155266000,30
chr1,155266000,155266500,32.4
chr1,155266500,155267000,29.8
chr1,155267000,155267500,27.2
chr1,155267500,155268000,31
chr1,155268000,155268500,27.7
chr1,155268500,155269000,27.9
chr1,155269000,155269500,33
chr1,155269500,155270000,29.4
chr1,155270000,155270500,29.7
chr1,155270500,155271000,27.3
chr1,155271000,155271500,32.5
chr1,155271500,155272000,29.6
chr1,155272000,155272500,30.8
chr1,155272500,155273000,32.9
chr1,155273000,155273500,31.7
chr1,155273500,155274000,31.7
chr1,155274000,155274500,29.3
chr1,155274500,155275000,28.3
chr1,155275000,155275500,31.3
chr1,155275500,155276000,27.3
chr1,155276000,155276500,27.2
chr1,155276500,155277000,32.1
chr1,155277000,155277500,29.5
chr1,155277500,155278000,32.2
chr1,155278000,155278500,30.9
chr1,155278500,155279000,28.6
chr1,155279000,155279500,27.9
chr1,155279500,155280000,27.5
chr1,155280000,155280500,30.5
chr1,155280500,155281000,30.4
chr1,155281000,155281500,31
chr1,155281500,155282000,27.5
chr1,155282000,155282500,28.7
chr1,155282500,155283000,28.6
chr1,155283000,155283500,27.6
chr1,155283500,155284000,28.1
chr1,155284000,155284500,27.6
chr1,155284500,155285000,28.7
chr1,155285000,155285500,32.1
chr1,155285500,155286000,27.6
chr1,155286000,155286500,29.9
chr1,155286500,155287000,32.5
chr1,155287000,155287500,27.3
chr1,155287500,155288000,31.2
chr1,155288000,155288500,31.1
chr1,155288500,155289000,29.5
chr1,155289000,155289500,27.1
chr1,155289500,155290000,27.8
chr1,155290000,155290500,28.2
chr1,155290500,155291000,31.2
chr1,155291000,155291500,31.9
chr1,155291500,155292000,30.9
chr1,155292000,155292500,28.3
chr1,155292500,155293000,29.9
chr1,155293000,155293500,28.4
chr1,155293500,155294000,31.6
chr1,155294000,155294500,27.1
chr1,155294500,155295000,28.6
chr1,155295000,155295500,28.9
chr1,155295500,155296000,29.3
chr1,155296000,155296500,29.5
chr1,155296500,155297000,29.6
chr1,155297000,155297500,27.5
chr1,155297500,155298000,27.3
chr1,155298000,155298500,32.4
chr1,155298500,155299000,27.5
chr1,155299000,155299500,30.1
chr1,155299500,155300000,32.6
chr1,155300000,155300500,31.8
chr1,155300500,155301000,28.1
chr1,155301000,155301500,27.4
chr1,155301500,155302000,28.4
chr1,155302000,155302500,32.5
chr1,155302500,155303000,31.7
chr1,155303000,155303500,29.1
chr1,155303500,155304000,32.8
chr1,155304000,155304500,28.8
chr1,155304500,155305000,27.5
chr1,155305000,155305500,29.2
chr1,155305500,155306000,30.9
chr1,155306000,155306500,29.9
chr1,155306500,155307000,29.7
chr1,155307000,155307500,29.8
chr1,155307500,155308000,30.9
chr1,155308000,155308500,30.2
chr1,155308500,155309000,27.2
chr1,155309000,155309500,30.4
chr1,155309500,155310000,32.3
chr1,155310000,155310500,31.5
chr1,155310500,155311000,32.2
chr1,155311000,155311500,29.2
chr1,155311500,155312000,29.9
chr1,155312000,155312500,27.9
chr1,155312500,155313000,30.3
chr1,155313000,155313500,28.9
chr1,155313500,155314000,29.8
chr1,155314000,155314500,31.8
chr1,155314500,155315000,29.9
chr1,155315000,155315500,29.4
chr1,155315500,155316000,31.9
chr1,155316000,155316500,32.8
chr1,155316500,155317000,29.9
chr1,155317000,155317500,29.3
chr1,155317500,155318000,29.6
chr1,155318000,155318500,31.9
chr1,155318500,155319000,30.4
chr1,155319000,155319500,32.5
chr1,155319500,155320000,32.8
chr1,155320000,155320500,32.8
chr1,155320500,155321000,27.7
chr1,155321000,155321500,30.6
chr1,155321500,155322000,31.3
chr1,155322000,155322500,28.8
chr1,155322500,155323000,29.8
chr1,155323000,155323500,27.8
chr1,155323500,155324000,32
chr1,155324000,155324500,28.7
chr1,155324500,155325000,27.4
chr1,155325000,155325500,27.9
chr1,155325500,155326000,32
chr1,155326000,155326500,28
chr1,155326500,155327000,27
chr1,155327000,155327500,31.5
chr1,155327500,155328000,28.8
chr1,155328000,155328500,32.4
chr1,155328500,155329000,28.3
chr1,155329000,155329500,32.8
chr1,155329500,155330000,29.3
chr1,155330000,155330500,28.3
chr1,155330500,155331000,29.6
chr1,155331000,155331500,28.2
chr1,155331500,155332000,29.4
chr1,155332000,155332500,31.3
chr1,155332500,155333000,29.9
chr1,155333000,155333500,31.4
chr1,155333500,155334000,31
chr1,155334000,155334500,31.2
chr1,155334500,155335000,32.6
chr1,155335000,155335500,31.6
chr1,155335500,155336000,28.9
chr1,155336000,155336500,31.4
chr1,155336500,155337000,27.6
chr1,155337000,155337500,30.6
chr1,155337500,155338000,28.6
chr1,155338000,155338500,29.7
chr1,155338500,155339000,27.2
chr1,155339000,155339500,32.8
chr1,155339500,155340000,30.1
chr1,155340000,155340500,31.8
chr1,155340500,155341000,31.9
chr1,155341000,155341500,29.7
chr1,155341500,155342000,31.4
chr1,155342000,155342500,30.5
chr1,155342500,155343000,27.2
chr1,155343000,155343500,32.6
chr1,155343500,155344000,27.9
chr1,155344000,155344500,27
chr1,155344500,155345000,29.3
chr1,155345000,155345500,29.3
chr1,155345500,155346000,27.7
chr1,155346000,155346500,29.2
chr1,155346500,155347000,29.8
chr1,155347000,155347500,30.4
chr1,155347500,155348000,31.7
chr1,155348000,155348500,30.2
chr1,155348500,155349000,27
chr1,155349000,155349500,32
chr1,155349500,155350000,27.1
chr1,155350000,155350500,30.6
chr1,155350500,155351000,27.2
chr1,155351000,155351500,29.2
chr1,155351500,155352000,29
chr1,155352000,155352500,27.4
chr1,155352500,155353000,27.8
chr1,155353000,155353500,29
chr1,155353500,155354000,32.9
chr1,155354000,155354500,30.5
chr1,155354500,155355000,32.3
chr1,155355000,155355500,29.5
chr1,155355500,155356000,32.3
chr1,155356000,155356500,27.4
chr1,155356500,155357000,31.7
chr1,155357000,155357500,29.7
chr1,155357500,155358000,29.6
chr1,155358000,155358500,28.8
chr1,155358500,155359000,31.8
chr1,155359000,155359500,32.5
chr1,155359500,155360000,28.9
chr1,155360000,155360500,30.6
chr1,155360500,155361000,28.1
chr1,155361000,155361500,30.8
chr1,155361500,155362000,30
chr1,155362000,155362500,30.3
chr1,155362500,155363000,27.2
chr1,155363000,155363500,28.9
chr1,155363500,155364000,28.9
chr1,155364000,155364500,32.1
chr1,155364500,155365000,28.4
chr1,155365000,155365500,28.1
chr1,155365500,155366000,30.4
chr1,155366000,155366500,31.8
chr1,155366500,155367000,32
chr1,155367000,155367500,30.8
chr1,155367500,155368000,32
chr1,155368000,155368500,27.9
chr1,155368500,155369000,31.9
chr1,155369000,155369500,27.6
chr1,155369500,155370000,31
chr1,155370000,155370500,31.7
chr1,155370500,155371000,27.8
chr1,155371000,155371500,30.4
chr1,155371500,155372000,29.5
chr1,155372000,155372500,32.3
chr1,155372500,155373000,30.7
chr1,155373000,155373500,28.3
chr1,155373500,155374000,32.2
chr1,155374000,155374500,28.7
chr1,155374500,155375000,32.4
chr1,155375000,155375500,31
chr1,155375500,155376000,32.1
chr1,155376000,155376500,31.5
chr1,155376500,155377000,27.1
chr1,155377000,155377500,32.3
chr1,155377500,155378000,33
chr1,155378000,155378500,31.6
chr1,155378500,155379000,28.8
chr1,155379000,155379500,28
chr1,155379500,155380000,27.9
chr1,155380000,155380500,28.2
chr1,155380500,155381000,29.1
chr1,155381000,155381500,32.4
chr1,155381500,155382000,29.1
chr1,155382000,155382500,31.2
chr1,155382500,155383000,28.4
chr1,155383000,155383500,28.7
chr1,155383500,155384000,30.8
chr1,155384000,155384500,30.6
chr1,155384500,155385000,29.5
chr1,155385000,155385500,29.6
chr1,155385500,155386000,29.5
chr1,155386000,155386500,28.6
chr1,155386500,155387000,28.5
chr1,155387000,155387500,32.6
chr1,155387500,155388000,31.3
chr1,155388000,155388500,29
chr1,155388500,155389000,27.7
chr1,155389000,155389500,31.1
chr1,155389500,155390000,32
chr1,155390000,155390500,30
chr1,155390500,155391000,31.3
chr1,155391000,155391500,27.1
chr1,155391500,155392000,28.8
chr1,155392000,155392500,30
chr1,155392500,155393000,32.9
chr1,155393000,155393500,32.4
chr1,155393500,155394000,31.9
chr1,155394000,155394500,28
chr1,155394500,155395000,31
chr1,155395000,155395500,29.8
chr1,155395500,155396000,29.9
chr1,155396000,155396500,32.9
chr1,155396500,155397000,32.8
chr1,155397000,155397500,32.5
chr1,155397500,155398000,27.1
chr1,155398000,155398500,32.8
chr1,155398500,155399000,27.7
chr1,155399000,155399500,31
chr1,155399500,155400000,31.7
chr1,155400000,155400500,32.3
chr1,155400500,155401000,30.9
chr1,155401000,155401500,29.1
chr1,155401500,155402000,28.7
chr1,155402000,155402500,32.8
chr1,155402500,155403000,30.8
chr1,155403000,155403500,31.2
chr1,155403500,155404000,31.3
chr1,155404000,155404500,28.2
chr1,155404500,155405000,29.1
chr1,155405000,155405500,31.2
chr1,155405500,155406000,32.7
chr1,155406000,155406500,30.8
chr1,155406500,155407000,29.4
chr1,155407000,155407500,29.6
chr1,155407500,155408000,32.4
chr1,155408000,155408500,32.4
chr1,155408500,155409000,31.4
chr1,155409000,155409500,30.1
chr1,155409500,155410000,28
chr1,155410000,155410500,32.9
chr1,155410500,155411000,30.8
chr1,155411000,155411500,29.8
chr1,155411500,155412000,30
chr1,155412000,155412500,27.8
chr1,155412500,155413000,31
chr1,155413000,155413500,32.5
chr1,155413500,155414000,32.5
chr1,155414000,155414500,28.5
chr1,155414500,155415000,31.7
chr1,155415000,155415500,31.5
chr1,155415500,155416000,27.4
chr1,155416000,155416500,28.6
chr1,155416500,155417000,30.5
chr1,155417000,155417500,30.6
chr1,155417500,155418000,29.5
chr1,155418000,155418500,27.5
chr1,155418500,155419000,30.1
chr1,155419000,155419500,29.6
chr1,155419500,155420000,29.2
chr1,155420000,155420500,28.3
chr1,155420500,155421000,30.2
chr1,155421000,155421500,32.5
chr1,155421500,155422000,27.3
chr1,155422000,155422500,31.2
chr1,155422500,155423000,32.1
chr1,155423000,155423500,27.6
chr1,155423500,155424000,30.8
chr1,155424000,155424500,32.6
chr1,155424500,155425000,31.6
chr1,155425000,155425500,31.7
chr1,155425500,155426000,28.9
chr1,155426000,155426500,29.1
chr1,155426500,155427000,29.3
chr1,155427000,155427500,29.1
chr1,155427500,155428000,29.5
chr1,155428000,155428500,32
chr1,155428500,155429000,27.7
chr1,155429000,155429500,32.5
chr1,155429500,155430000,28.4
chr1,155430000,155430500,32.3
chr1,155430500,155431000,31.4
chr1,155431000,155431500,30.3
chr1,155431500,155432000,31.6
chr1,155432000,155432500,30.2
chr1,155432500,155433000,32.8
chr1,155433000,155433500,32.3
chr1,155433500,155434000,29.2
chr1,155434000,155434500,28.4
chr1,155434500,155435000,27.5
chr1,155435000,155435500,27.5
chr1,155435500,155436000,27.8
chr1,155436000,155436500,31.7
chr1,155436500,155437000,28.8
chr1,155437000,155437500,31.3
chr1,155437500,155438000,29.2
chr1,155438000,155438500,31
chr1,155438500,155439000,28.7
chr1,155439000,155439500,31.4
chr1,155439500,155440000,30.6
chr1,155440000,155440500,32.7
chr1,155440500,155441000,28.3
chr1,155441000,155441500,30.8
chr1,155441500,155442000,29.9
chr1,155442000,155442500,28.3
chr1,155442500,155443000,27.2
chr1,155443000,155443500,32.8
chr1,155443500,155444000,31.3
chr1,155444000,155444500,31.8
chr1,155444500,155445000,29.5
chr1,155445000,155445500,32.5
chr1,155445500,155446000,32
chr1,155446000,155446500,32.3
chr1,155446500,155447000,31.4
chr1,155447000,155447500,30.2
chr1,155447500,155448000,32.3
chr1,155448000,155448500,31.1
chr1,155448500,155449000,31.6
chr1,155449000,155449500,32.3
chr1,155449500,155450000,27.1
chr1,155450000,155450500,27
chr1,155450500,155451000,29.8
chr1,155451000,155451500,30
chr1,155451500,155452000,27.2
chr1,155452000,155452500,30.3
chr1,155452500,155453000,28.4
chr1,155453000,155453500,27.7
chr1,155453500,155454000,31.8
chr1,155454000,155454500,28.7
chr1,155454500,155455000,32.1
chr1,155455000,155455500,27.7
chr1,155455500,155456000,30.2
chr1,155456000,155456500,29.3
chr1,155456500,155457000,28
chr1,155457000,155457500,29.4
chr1,155457500,155458000,31.3
chr1,155458000,155458500,27.2
chr1,155458500,155459000,28.3
chr1,155459000,155459500,29.9
chr1,155459500,155460000,28.5
chr1,155460000,155460500,30
chr1,155460500,155461000,31.1
chr1,155461000,155461500,30.3
chr1,155461500,155462000,28.1
chr1,155462000,155462500,28.5
chr1,155462500,155463000,30.5
chr1,155463000,155463500,30.6
chr1,155463500,155464000,29.9
chr1,155464000,155464500,28.9
chr1,155464500,155465000,28.6
chr1,155465000,155465500,28.8
chr1,155465500,155466000,30.5
chr1,155466000,155466500,32.3
chr1,155466500,155467000,28
chr1,155467000,155467500,30.6
chr1,155467500,155468000,32.6
chr1,155468000,155468500,30.2
chr1,155468500,155469000,30.4
chr1,155469000,155469500,27.6
chr1,155469500,155470000,30.1
chr1,155470000,155470500,27.2
chr1,155470500,155471000,32.5
chr1,155471000,155471500,27.5
chr1,155471500,155472000,28.7
chr1,155472000,155472500,27.4
chr1,155472500,155473000,32.3
chr1,155473000,155473500,27.1
chr1,155473500,155474000,28.9
chr1,155474000,155474500,31.1
chr1,155474500,155475000,27.4
chr1,155475000,155475500,30.5
chr1,155475500,155476000,31.7
chr1,155476000,155476500,28
chr1,155476500,155477000,31.1
chr1,155477000,155477500,32.4
chr1,155477500,155478000,27.7
chr1,155478000,155478500,29.8
chr1,155478500,155479000,30.6
chr1,155479000,155479500,27.2
chr1,155479500,155480000,30.5
chr1,155480000,155480500,30
chr1,155480500,155481000,32
chr1,155481000,155481500,31.4
chr1,155481500,155482000,27.8
chr1,155482000,155482500,27.3
chr1,155482500,155483000,29.1
chr1,155483000,155483500,32.1
chr1,155483500,155484000,28.1
chr1,155484000,155484500,30.4
chr1,155484500,155485000,31.3
chr1,155485000,155485500,31
chr1,155485500,155486000,30.9
chr1,155486000,155486500,31.5
chr1,155486500,155487000,32.3
chr1,155487000,155487500,30.1
chr1,155487500,155488000,27.2
chr1,155488000,155488500,30.2
chr1,155488500,155489000,27.7
chr1,155489000,155489500,27.1
chr1,155489500,155490000,27.6
chr1,155490000,155490500,29.8
chr1,155490500,155491000,28.3
chr1,155491000,155491500,31.4
chr1,155491500,155492000,27
chr1,155492000,155492500,27.1
chr1,155492500,155493000,27.4
chr1,155493000,155493500,27.5
chr1,155493500,155494000,30.4
chr1,155494000,155494500,29.6
chr1,155494500,155495000,31.4
chr1,155495000,155495500,32.1
chr1,155495500,155496000,30
chr1,155496000,155496500,31.1
chr1,155496500,155497000,28.5
chr1,155497000,155497500,27.4
chr1,155497500,155498000,31.4
chr1,155498000,155498500,28
chr1,155498500,155499000,28.8
chr1,155499000,155499500,27.7
chr1,155499500,155500000,31.8
chr1,155500000,155500500,32.5
chr1,155500500,155501000,28.6
chr1,155501000,155501500,27.4
chr1,155501500,155502000,27.1
chr1,155502000,155502500,28.8
chr1,155502500,155503000,32.4
chr1,155503000,155503500,29.8
chr1,155503500,155504000,28.2
chr1,155504000,155504500,29.5
chr1,155504500,155505000,30.8
chr1,155505000,155505500,32.1
chr1,155505500,155506000,29.4
chr1,155506000,155506500,32.7
chr1,155506500,155507000,29.4
chr1,155507000,155507500,30.3
chr1,155507500,155508000,28.6
chr1,155508000,155508500,27.9
chr1,155508500,155509000,29.6
chr1,155509000,155509500,29.8
chr1,155509500,155510000,27.3
chr1,155510000,155510500,31
chr1,155510500,155511000,32.4
chr1,155511000,155511500,28.5
chr1,155511500,155512000,30.4
chr1,155512000,155512500,32.9
chr1,155512500,155513000,29.3
chr1,155513000,155513500,28.7
chr1,155513500,155514000,31.5
chr1,155514000,155514500,28.2
chr1,155514500,155515000,30.5
chr1,155515000,155515500,29.3
chr1,155515500,155516000,30.9
chr1,155516000,155516500,28.2
chr1,155516500,155517000,31
chr1,155517000,155517500,32.1
chr1,155517500,155518000,28.2
chr1,155518000,155518500,28
chr1,155518500,155519000,27.3
chr1,155519000,155519500,29.7
chr1,155519500,155520000,28.8
chr1,155520000,155520500,32.6
chr1,155520500,155521000,31.7
chr1,155521000,155521500,32.5
chr1,155521500,155522000,29
chr1,155522000,155522500,28.2
chr1,155522500,155523000,27.9
chr1,155523000,155523500,31.6
chr1,155523500,155524000,32.7
chr1,155524000,155524500,32
chr1,155524500,155525000,30.9
chr1,155525000,155525500,28.4
chr1,155525500,155526000,30.9
chr1,155526000,155526500,29.7
chr1,155526500,155527000,31.5
chr1,155527000,155527500,31.1
chr1,155527500,155528000,27.1
chr1,155528000,155528500,30.6
chr1,155528500,155529000,31.8
chr1,155529000,155529500,30.5
chr1,155529500,155530000,29.5
chr1,155530000,155530500,32.6
chr1,155530500,155531000,28.7
chr1,155531000,155531500,28.8
chr1,155531500,155532000,28
chr1,155532000,155532500,27.2
chr1,155532500,155533000,31.7
chr1,155533000,155533500,27.7
chr1,155533500,155534000,31.5
chr1,155534000,155534500,31
chr1,155534500,155535000,32.5
chr1,155535000,155535500,30.7
chr1,155535500,155536000,29.4
chr1,155536000,155536500,27.1
chr1,155536500,155537000,27.7
chr1,155537000,155537500,28.1
chr1,155537500,155538000,28.1
chr1,155538000,155538500,27.7
chr1,155538500,155539000,30.2
chr1,155539000,155539500,29.5
chr1,155539500,155540000,29
chr1,155540000,155540500,31.5
chr1,155540500,155541000,28.7
chr1,155541000,155541500,31
chr1,155541500,155542000,30.6
chr1,155542000,155542500,28.1
